3295
1 3 5
2 7 6
4 12 8
10 13 9
14 16 11
15 17 19
18 20 22
24 21 28
25 23 30
26 34 35
27 36 39
29 37 45
31 41 50
32 42 52
33 43 54
38 53 59
40 72 60
44 77 63
46 85 64
47 87 65
48 93 66
49 94 67
51 96 68
55 98 69
56 101 71
57 103 73
58 108 75
61 110 76
62 111 78
70 115 86
74 121 88
79 126 91
80 127 92
81 130 95
82 131 97
83 135 99
84 136 106
89 138 109
90 141 113
100 142 114
102 143 116
104 145 118
105 146 119
107 147 129
112 151 133
117 154 134
120 161 137
122 163 140
123 165 150
124 166 157
125 167 158
128 169 168
132 170 172
139 171 173
144 175 174
148 176 177
149 178 180
152 182 183
153 184 186
155 191 187
156 193 188
159 195 189
160 198 192
162 200 194
164 207 196
179 211 199
181 212 203
185 214 205
190 220 210
197 222 216
201 229 217
202 232 219
204 233 221
206 239 223
208 241 224
209 244 230
213 245 231
215 247 234
218 248 235
225 250 237
226 253 238
227 258 240
228 260 246
236 262 249
242 263 251
243 265 254
252 268 256
255 271 257
261 277 259
269 279 264
270 280 266
272 281 267
274 282 273
275 291 276
278 294 283
285 299 284
288 300 286
292 303 287
293 305 289
301 310 290
302 322 295
306 325 296
307 332 297
308 337 298
309 339 304
312 353 311
313 354 314
318 355 315
319 356 316
321 358 317
324 361 320
328 364 323
330 365 326
334 371 327
340 375 329
342 376 331
343 379 333
347 380 335
348 381 336
350 384 338
351 388 341
352 389 344
357 391 345
359 396 346
362 399 349
366 401 360
368 402 363
369 404 367
372 407 370
374 411 373
377 412 385
378 413 390
382 414 394
383 419 395
386 425 400
387 426 405
392 427 406
393 428 408
397 431 410
398 432 415
403 436 416
409 439 417
418 442 420
421 445 424
422 449 430
423 453 434
429 454 437
433 455 441
435 456 448
438 458 451
440 466 452
443 468 457
444 471 459
446 474 460
447 476 463
450 479 467
461 480 470
462 481 475
464 482 484
465 483 487
469 488 490
472 491 492
473 495 494
477 498 496
478 499 502
485 500 506
486 501 508
489 516 509
493 518 511
497 520 513
503 522 515
504 528 519
505 529 521
507 530 524
510 532 525
512 533 526
514 534 531
517 540 537
523 542 539
527 546 541
535 548 543
536 552 547
538 554 555
544 557 556
545 563 558
549 565 559
550 566 561
551 567 572
553 568 573
560 583 574
562 587 575
564 589 576
569 591 580
570 592 588
571 594 590
577 596 598
578 597 604
579 600 608
581 601 612
582 603 614
584 609 618
585 611 626
586 613 628
593 619 629
595 622 631
599 624 633
602 625 635
605 627 639
606 630 642
607 632 645
610 634 647
615 636 652
616 637 656
617 638 657
620 644 660
621 646 665
623 648 667
640 650 669
641 653 670
643 654 688
649 658 691
651 662 694
655 664 700
659 668 703
661 672 705
663 674 706
666 678 710
671 682 711
673 684 713
675 685 716
676 687 717
677 689 720
679 690 721
680 693 723
681 697 724
683 698 731
686 704 735
692 708 737
695 712 741
696 715 750
699 722 753
701 726 755
702 727 756
707 728 758
709 729 759
714 732 761
718 736 762
719 743 764
725 745 770
